Timestamp,Agent Name,Departure city,Destination(s),Outbound date,Return date,I will be travelling by:,Anything else you want to share about your trip?
2/2/2017 14:14:27,BenJenHoldings,Boston,NJ/NYC/Providence,2/4/2017,2/18/2016,"Car, no stops but can meet up at my destination, Train",I travel up and down between Boston and NYC - I'll share my trips on KeyWays
1/31/2017 19:35:54,subterranean,Seattle,Phoenix/Tucson,2/4/2017,1/2/2017,Plane,With captainbrojob
1/30/2017 21:08:15,weelittlestabby,LONGVIEW,Somewhere in bumfuck noodleville idaho,4/1/2017,1/5/2017,"Car, and willing to make stops along the way",All the pertals
2/7/2017 9:00:31,ayrlin,Birmingham,London (north+central),2/28/2017,2/1/2017,"Car, and willing to make stops along the way, Train",
1/31/2017 8:18:43,tmxod,Orlando,"Joao Pessoa, Brasil + Buenos Aires, Argentina",2/14/2017,3/7/2017,"Plane, Uber/taxi within the destination cities","Dates are tentative. Travel will be for work, play time may be limited."
2/9/2017 18:36:46,Mrbrownstone86,Brisbane,Sydney,1/1/2017,2/2/2017,Plane,I travel back and forth between the 2 cities. Travel dates does not apply
1/31/2017 11:12:22,OdinsOdyssey,Olympia,"Portland, salem",1/28/2017,2/2/2017,"Car, and willing to make stops along the way",
1/23/2017 23:23:09,j,v,v,1/26/2017,2/3/2017,"Car, and willing to make stops along the way, Train",no
1/30/2017 19:50:49,d0gboy,Tlon,The Oubliette,1/31/2017,2/3/2017,"Car, and willing to make stops along the way, Plane, Train",This is a test entry.
1/30/2017 20:07:04,elanghe,SLC,DTW,1/31/2017,2/3/2017,Plane,
1/31/2017 7:53:35,tismon,"St. Louis, MO","Chicago, IL",2/1/2017,2/3/2017,"Car, and willing to make stops along the way",
2/2/2017 11:16:51,BobDilbert,"Little river, sc",Charleston sc,2/3/2017,2/3/2017,"Car, and willing to make stops along the way",
1/31/2017 8:05:28,mjester,Cancun,SF,1/29/2017,2/4/2017,Plane,I'm already in Cancun so can only carry stuff back to SF area... it's one-way
1/31/2017 21:22:32,InvatorZim,Tulsa,Oklahoma City,2/4/2017,2/4/2017,"Car, no stops but can meet up at my destination","First Saturday,  can key swap"
2/1/2017 21:59:59,paperbro,"RENO,  NV","Sacramento, CA",2/4/2017,2/4/2017,"Car, and willing to make stops along the way",Attending first saturday in Sacramento
2/13/2017 9:32:15,RubyDiva,"Manassas, VA","Johnson City, TN",3/4/2017,2/4/2017,"Car, and willing to make stops along the way",
2/1/2017 18:16:59,Bookwheel,"Portland,or",Maui hi,1/29/2017,2/5/2017,Plane,Staying near lahaina
